КодИнструмента,НаименованиеИнструмента,БазисПоставки,ОбъемДоговоровЕИ,ОбъемДоговоровРуб,ИзмРынРуб,ИзмРынПроц,МинЦена,СреднЦена,МаксЦена,РынЦена,ЛучшПредложение,ЛучшСпрос,КоличествоДоговоров,Дата,Товар
PCMXSAUK53F,"Спирт этиловый синтетический технический денатурированный марка Б (1 лот=5300 декалитров), Самара-группа станций (ст. отправления)",Самара-группа станций,,,,,,,,778,,,,2025-12-10,Спирт этиловый синтетический технический денатурированный марка Б (1 лот=5300 декалитров)
HELLBGEK31A,"Гелий жидкий, БП Склады гелий жидкий (самовывоз автотранспортом)",БП Склады гелий жидкий,341,2713430,17.27,0.22,7950,7957.27,7970,7957.27,7950,7980,5,2025-12-10,Гелий жидкий
HELMBYGK10A,"Гелий газообразный марка Б, БП Склады гелий газообразный (самовывоз автотранспортом)",БП Склады гелий газообразный,1300,1423500,-7,-0.64,1095,1095,1095,1095,1095,1095,4,2025-12-10,Гелий газообразный марка Б
A001KRU060F,"Бензин (АИ-100-К5), ст. Круглое Поле (ст. отправления)",ст. Круглое Поле,,,,,,,,,87000,84000,,2025-12-10,Бензин (АИ-100-К5)
A100ANK060F,"Бензин (АИ-100-К5), Ангарск-группа станций (ст. отправления)",Ангарск-группа станций,,,,,,,,93000,,93465,,2025-12-10,Бензин (АИ-100-К5)
A100NVY060F,"Бензин (АИ-100-К5), ст. Новоярославская (ст. отправления)",ст. Новоярославская,,,,,,,,93609,,94077,,2025-12-10,Бензин (АИ-100-К5)
A100UFM060F,"Бензин (АИ-100-К5), Уфа-группа станций (ст. отправления)",Уфа-группа станций,,,,,,,,90022,,90472,,2025-12-10,Бензин (АИ-100-К5)
A106PDK060J,"Бензин (АИ-100-К5) EURO-6, Предкомбинатская-группа станций (ст. отправления ОТП)",Предкомбинатская-группа станций,60,5595840,464,0.5,93264,93264,93264,93264,93264,93264,1,2025-12-10,Бензин (АИ-100-К5) EURO-6
A10KZLY060W,"Бензин (АИ-100-К5)-Евро, ст. Злынка-Экспорт (промежуточная станция)",ст. Злынка-Экспорт,,,,,,,,91000,91500,,,2025-12-10,Бензин (АИ-100-К5)-Евро
A692AAY025A,"Бензин (АИ-92-К5) ГОСТ 32513-2013/ГОСТ 32513-2023, НБ Аргаяшская (самовывоз автотранспортом)",НБ Аргаяшская,,,,,,,,,68000,,,2025-12-10,Бензин (АИ-92-К5) ГОСТ 32513-2013/ГОСТ 32513-2023
A692ACH005A,"Бензин (АИ-92-К5) ГОСТ 32513-2013/ГОСТ 32513-2023, Ачинский НПЗ (самовывоз автотранспортом)",Ачинский НПЗ,,,,,,,,70000,68500,67000,,2025-12-10,Бензин (АИ-92-К5) ГОСТ 32513-2013/ГОСТ 32513-2023
A692ALL060J,"Бензин (АИ-92-К5), ГОСТ 32513-2013/ГОСТ 32513-2023, ст. Аллагуват (ст. отправления ОТП)",ст. Аллагуват,2520,146892000,1051,1.8,57525,58290,58568,58290,57525,58581,36,2025-12-10,Бензин (АИ-92-К5)
A692AML025A,"Бензин (АИ-92-К5), ГОСТ 32513-2013/ГОСТ 32513-2023, НБ ЯмалЭкоСервис (самовывоз автотранспортом)",НБ ЯмалЭкоСервис,,,,,,,,,67000,,,2025-12-10,Бензин (АИ-92-К5)
A692ANK060F,"Бензин (АИ-92-К5) (ГОСТ 32513-2013/ГОСТ 32513-2023), Ангарск-группа станций (ст. отправления)",Ангарск-группа станций,360,23277000,669,1.03,64309,64658,64874,64658,64148,64981,6,2025-12-10,Бензин (АИ-92-К5) (ГОСТ 32513-2013/ГОСТ 32513-2023)
A692ASO005A,"Бензин (АИ-92-К5), ГОСТ 32513-2013/ГОСТ 32513-2023, АСН Сургутский ЗСК (самовывоз автотранспортом)",АСН Сургутский ЗСК,30,1755000,-1000,-1.71,58500,58500,58500,58500,58500,58500,1,2025-12-10,Бензин (АИ-92-К5)
A692AVM005A,"Бензин (АИ-92-К5), ГОСТ 32513-2013/ГОСТ 32513-2023, СН КНПЗ (самовывоз автотранспортом)",СН КНПЗ,30,2430000,,,81000,81000,81000,81000,81000,81000,2,2025-12-10,Бензин (АИ-92-К5)
A692BIN060J,"Бензин (АИ-92-К5) (ГОСТ 32513-2013/ГОСТ 32513-2023), ст. Биклянь (ст. отправления ОТП)",ст. Биклянь,1260,71917080,650,1.14,56500,57077,57481,57077,56500,57481,17,2025-12-10,Бензин (АИ-92-К5) (ГОСТ 32513-2013/ГОСТ 32513-2023)
A692BTC060J,"Бензин (АИ-92-К5), ГОСТ 32513-2013/ГОСТ 32513-2023, БП (б.т.ц.) Осенцы (ст. отправления ОТП)",БП (б.т.ц.) Осенцы,1140,64817220,812,1.43,56325,56857,57111,56857,56045,57141,18,2025-12-10,Бензин (АИ-92-К5)
A692BYF060C,"Бензин (АИ-92-К5), ГОСТ 32513-2013/ГОСТ 32513-2023, ЮФО БП (ст. назначения)",ЮФО БП,,,,,,,,69533,,,,2025-12-10,Бензин (АИ-92-К5)
A692DZM060F,"Бензин (АИ-92-К5) (ГОСТ 32513-2013/ГОСТ 32513-2023), ст. Дземги (ст. отправления)",ст. Дземги,420,31350600,371,0.5,74644,74644,74645,74644,74273,74649,7,2025-12-10,Бензин (АИ-92-К5) (ГОСТ 32513-2013/ГОСТ 32513-2023)
A692INF025A,"Бензин (АИ-92-К5), ГОСТ 32513-2013/ГОСТ 32513-2023, НБ Информат (самовывоз автотранспортом)",НБ Информат,,,,,,,,,60500,,,2025-12-10,Бензин (АИ-92-К5)
A692KDM005A,"Бензин (АИ-92-К5), ГОСТ 32513-2013/ГОСТ 32513-2023, НБ Кудьминская (самовывоз автотранспортом)",НБ Кудьминская,,,,,,,,,64000,60000,,2025-12-10,Бензин (АИ-92-К5)
A692KGY005A,"Бензин (АИ-92-К5), ГОСТ 32513-2013/ГОСТ 32513-2023, НБ Когалым (самовывоз автотранспортом)",НБ Когалым,15,1195500,,,79700,79700,79700,79700,79700,79700,1,2025-12-10,Бензин (АИ-92-К5)
A692KOB060F,"Бензин (АИ-92-К5) (ГОСТ 32513-2013/ГОСТ 32513-2023), ст. Комбинатская (ст. отправления)",ст. Комбинатская,1680,95492520,809,1.42,56312,56841,57074,56841,56312,57125,18,2025-12-10,Бензин (АИ-92-К5) (ГОСТ 32513-2013/ГОСТ 32513-2023)
A692LTN025A,"Бензин (АИ-92-К5) (ГОСТ 32513-2013/ГОСТ 32513-2023), НБ Латная (самовывоз автотранспортом)",НБ Латная,,,,,,,,,74000,,,2025-12-10,Бензин (АИ-92-К5) (ГОСТ 32513-2013/ГОСТ 32513-2023)
A692LUL060J,"Бензин (АИ-92-К5) (ГОСТ 32513-2013/ГОСТ 32513-2023), Волгоград-группа станций (ст. отправления ОТП)",Волгоград-группа станций,1020,62331840,843,1.38,60568,61110,61397,61110,60267,61416,13,2025-12-10,Бензин (АИ-92-К5) (ГОСТ 32513-2013/ГОСТ 32513-2023)
